tool	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0
run set	logger.select-points	logger.select-points	logger.select-points	logger.select-points
test/logger/	status	cputime (s)	walltime (s)	memory (MB)
svp_simple_001_001.yml	true	4.623973819	4.7390319099940825	189.038592
svp_simple_002_001.yml	true	4.073611396	4.112266920012189	172.113920
svp_simple_003_001.yml	true	9.471371604	9.545419681991916	440.029184
svp_simple_004_001.yml	true	5.582061799	5.634746161988005	244.846592
svp_simple_005_001.yml	KILLED BY SIGNAL 9	358.556334	359.11189534299774	16580.108288
svp_simple_006_001.yml	KILLED BY SIGNAL 9	543.433591592	544.9277821670112	16579.616768
svp_simple_007_001.yml	true	14.563125047	14.94016845599981	449.294336
svp_simple_008_001.yml	true	39.312071153	39.36421303098905	1418.977280
svp_simple_009_001.yml	true	1244.783515959	1246.343715727009	15041.630208
svp_simple_010_001.yml	true	4.487582813	4.521995380986482	172.204032
svp_simple_011_001.yml	true	4.819825679	4.853539288014872	191.029248
svp_simple_012_001.yml	true	5.490000171	5.514905275980709	216.633344
svp_simple_013_001.yml	true	6.370750671	6.407948264997685	239.726592
svp_simple_014_001.yml	true	17.692517306	17.733625188004225	724.979712
svp_simple_015_001.yml	true	23.744998595	23.77940743401996	845.791232
svp_simple_016_001.yml	true	3.629444197	3.669210005988134	166.526976
svp_simple_017_001.yml	true	4.352107679	4.383892779995222	181.727232
svp_simple_018_001.yml	true	4.573303284	4.62435337700299	187.273216
svp_simple_019_001.yml	true	3.558369893	3.589125160011463	170.352640
svp_simple_020_001.yml	true	3.54016569	3.577736578998156	165.617664
svp_simple_021_001.yml	true	5.343699926	5.381357517995639	204.357632
svp_simple_022_001.yml	true	4.454913099	4.485765247984091	172.785664
svp_simple_023_001.yml	true	18.025130898	18.07784389599692	660.799488
