tool	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0
run set	all-points.goblint-regression	all-points.goblint-regression	all-points.goblint-regression	all-points.goblint-regression	select-points.goblint-regression	select-points.goblint-regression	select-points.goblint-regression	select-points.goblint-regression
../test/svcomp-benchmarks/goblint-regression_interrupt/goblint-regression_interrupt/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
svp_simple_500_001.yml	true	3.120931808	3.126385473064147	119.017472	true	3.174785191	3.1878675470361486	117.362688
svp_simple_501_001.yml	true	3.051629822	3.065415973076597	120.463360	true	3.099430798	3.1087265890091658	119.660544
svp_simple_502_001.yml	true	3.221851272	3.225674208952114	118.390784	true	3.244206785	3.248918868950568	117.284864
svp_simple_503_001.yml	true	3.239991289	3.243956214049831	120.348672	true	3.129993776	3.133985194028355	116.715520
svp_simple_507_001.yml	true	2.870346596	2.881311853067018	114.880512	true	3.033483148	3.057648799032904	116.596736
svp_simple_508_001.yml	true	3.008014839	3.021954407915473	115.982336	true	2.869874332	2.877303806017153	116.883456
svp_simple_511_001.yml	true	3.053985505	3.0579862128943205	116.822016	true	3.059127082	3.0724311250960454	116.523008
svp_simple_512_001.yml	true	3.117148732	3.1215269090607762	117.940224	true	3.055345725	3.0638801240129396	117.575680
svp_simple_513_001.yml	true	3.183780635	3.1908953060628846	119.414784	true	2.949379526	2.9532994659384713	116.047872
svp_simple_516_001.yml	true	2.95699426	2.9612951350864023	113.229824	true	2.923591267	2.9274887250503525	114.831360
svp_simple_517_001.yml	true	2.929721919	2.9336632419144735	117.420032	true	2.850569407	2.8643005120102316	122.679296
svp_simple_518_001.yml	true	2.929841226	2.9450327300000936	117.010432	true	2.908876595	2.9126983860041946	115.773440
svp_simple_519_001.yml	true	2.905586707	2.9193590380018577	120.520704	true	3.070107385	3.1052776760188863	118.898688
svp_simple_520_001.yml	true	3.301547283	3.3145642990712076	125.165568	true	3.002452985	3.015557411010377	117.915648
svp_simple_521_001.yml	true	3.334414121	3.348473265999928	125.214720	true	3.101382531	3.1136003140127286	116.822016
svp_simple_522_001.yml	true	3.046515836	3.0504359849728644	117.035008	true	2.889070403	2.9026177539490163	118.505472
svp_simple_524_001.yml	true	2.84070644	2.8446057609980926	115.257344	true	2.970039774	2.974002649076283	117.473280
svp_simple_525_001.yml	true	2.957866876	2.971190773998387	119.615488	true	3.045757741	3.0497285360470414	116.813824
svp_simple_526_001.yml	true	2.622011345	2.62578348594252	109.428736	true	2.722257684	2.734010842978023	111.276032
svp_simple_529_001.yml	true	2.553543477	2.5664938669651747	108.535808	true	2.707843587	2.72153342096135	109.027328
svp_simple_530_001.yml	true	3.05092013	3.0774120290298015	117.403648	true	2.901977211	2.9059952180832624	115.646464
svp_simple_531_001.yml	true	3.084072599	3.0944723249413073	115.798016	true	2.945374314	2.959323675953783	116.011008
svp_simple_534_001.yml	true	2.674287575	2.688335214043036	110.452736	true	2.730563005	2.7429563920013607	110.264320
svp_simple_536_001.yml	true	3.025350915	3.0294726570136845	117.174272	true	3.040866995	3.044833920081146	118.599680
svp_simple_538_001.yml	true	2.930511746	2.942582048010081	115.716096	true	2.999800605	3.0131107779452577	116.432896
svp_simple_540_001.yml	true	2.856795066	2.870913852006197	117.026816	true	2.836028343	2.839969035005197	116.133888
svp_simple_541_001.yml	true	2.989344652	2.993190417997539	115.277824	true	2.933385148	2.9447836859617382	117.645312
svp_simple_542_001.yml	true	2.983699123	2.997716328012757	117.178368	true	2.88188623	2.8858500480419025	116.183040
svp_simple_543_001.yml	true	2.948775191	2.9624860379844904	115.748864	true	2.923734698	2.933334590983577	117.960704
svp_simple_545_001.yml	true	2.950412097	2.9542610379867256	116.297728	true	3.06126029	3.065188365057111	115.429376
svp_simple_546_001.yml	true	2.920762291	2.9344302269164473	118.349824	true	2.920617686	2.924796251929365	117.997568
svp_simple_547_001.yml	true	3.828883745	3.8398591079749167	130.867200	true	3.312153055	3.3253287059487775	126.808064
svp_simple_548_001.yml	true	3.983612358	3.9912012679269537	138.756096	true	3.204601779	3.218308423063718	126.504960
svp_simple_549_001.yml	true	2.763022283	2.7670778549509123	109.854720	true	2.654213273	2.658158948062919	110.546944
svp_simple_550_001.yml	true	2.632565848	2.6461235779570416	110.366720	true	2.719511642	2.733139490010217	110.252032
svp_simple_573_001.yml	true	3.352134574	3.364868146018125	117.645312	true	3.25371365	3.2667588419280946	117.186560
svp_simple_575_001.yml	true	3.353696384	3.367441390058957	120.287232	true	3.225592145	3.229692157008685	119.296000
svp_simple_576_001.yml	true	3.354425627	3.362053634948097	119.648256	true	3.168868863	3.172873676987365	121.503744
svp_simple_579_001.yml	true	3.54678953	3.581798703991808	124.608512	true	3.166736065	3.1785544159356505	118.562816
svp_simple_580_001.yml	true	3.52598087	3.536476276931353	126.676992	true	3.324172342	3.3366524260491133	119.517184
svp_simple_597_001.yml	true	2.824216888	2.8379834500374272	117.424128	true	2.834411274	2.838568579987623	115.265536
svp_simple_598_001.yml	true	3.060999555	3.06518460100051	117.882880	true	2.952717626	2.966588445007801	116.482048
svp_simple_599_001.yml	true	2.917197147	2.9210583709646016	115.417088	true	2.816333884	2.8204963830066845	116.256768
svp_simple_600_001.yml	false(unreach-call)	2.740512644	2.7446905149845406	115.392512	false(unreach-call)	2.736604381	2.750536234001629	110.927872
svp_simple_602_001.yml	true	3.075097426	3.0789655189728364	121.028608	true	3.042397605	3.0463294569635764	119.750656
svp_simple_603_001.yml	true	2.810305711	2.821160520077683	113.983488	true	2.816504113	2.8203060779487714	110.641152
svp_simple_604_001.yml	true	2.602426894	2.615395711036399	109.752320	false(unreach-call)	2.807918843	2.8145227120257914	109.723648
svp_simple_605_001.yml	true	2.71725631	2.7215123180067167	111.906816	false(unreach-call)	2.758412235	2.762314041960053	110.673920
svp_simple_606_001.yml	true	2.69861399	2.7063725139014423	109.383680	false(unreach-call)	2.788420291	2.7925564739853144	112.750592
svp_simple_607_001.yml	true	2.721053943	2.7339174409862608	108.752896	false(unreach-call)	2.635815324	2.649606349063106	109.723648
svp_simple_608_001.yml	false(unreach-call)	2.782307829	2.786131066037342	110.354432	false(unreach-call)	2.662368507	2.666286105988547	112.205824
svp_simple_609_001.yml	false(unreach-call)	2.634919461	2.639096717000939	112.574464	false(unreach-call)	2.74278593	2.7547703669406474	110.583808
svp_simple_610_001.yml	true	2.667419805	2.6712997020222247	110.620672	true	2.770145512	2.7904296428896487	112.664576
svp_simple_611_001.yml	true	2.686440347	2.690719226957299	113.315840	true	2.699052336	2.71021390799433	112.734208
svp_simple_612_001.yml	false(unreach-call)	2.719424126	2.7233668729895726	111.792128	false(unreach-call)	2.731099189	2.7352489109616727	110.522368
svp_simple_613_001.yml	false(unreach-call)	2.794484106	2.803474304964766	116.342784	false(unreach-call)	2.804973972	2.8187080329516903	110.755840
svp_simple_618_001.yml	true	2.705116006	2.70910634403117	111.292416	true	2.715136821	2.7269914750941098	110.546944
svp_simple_620_001.yml	true	2.819360736	2.8334985279943794	110.616576	true	2.701301094	2.7136630719760433	110.915584
svp_simple_621_001.yml	false(unreach-call)	2.694483133	2.714225381030701	113.770496	false(unreach-call)	2.678793949	2.6908478758996353	110.731264
svp_simple_622_001.yml	true	2.73276118	2.7461412070551887	110.489600	true	2.787223845	2.791158103966154	109.543424
svp_simple_623_001.yml	true	2.74829466	2.752220707014203	113.557504	true	2.655932122	2.6597280490677804	109.993984
svp_simple_624_001.yml	true	2.693085937	2.7013488519005477	116.654080	true	2.677802839	2.6905506760813296	110.129152
svp_simple_625_001.yml	true	2.752421497	2.7564233959419653	110.981120	true	2.753423103	2.7574708649190143	109.740032
svp_simple_626_001.yml	true	2.76843446	2.7798834769055247	109.686784	true	2.757460029	2.761369190993719	110.432256
svp_simple_627_001.yml	true	2.660634742	2.664571846020408	115.216384	true	2.64711812	2.650982121936977	111.321088
svp_simple_628_001.yml	false(unreach-call)	2.727184283	2.731252957950346	109.948928	false(unreach-call)	2.651065279	2.6589159490540624	110.587904
svp_simple_629_001.yml	true	2.764993549	2.768832130008377	113.324032	true	2.658970947	2.6703869480406865	109.879296
svp_simple_630_001.yml	true	2.77097658	2.7800532409455627	112.644096	true	2.755921551	2.769419305026531	110.608384
svp_simple_631_001.yml	true	2.684562617	2.6885511979926378	115.134464	true	2.675873863	2.679990051081404	112.373760
svp_simple_632_001.yml	false(unreach-call)	2.69916898	2.710078027914278	113.377280	false(unreach-call)	2.672642747	2.682394035975449	111.247360
svp_simple_633_001.yml	true	2.802664641	2.816134779015556	113.983488	true	2.673057699	2.6826426150510088	110.878720
