tool	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0	CPAchecker 2.0
run set	all-points.ldv-races	all-points.ldv-races	all-points.ldv-races	all-points.ldv-races	select-points.ldv-races	select-points.ldv-races	select-points.ldv-races	select-points.ldv-races
../test/svcomp-benchmarks/ldv-races_interrupt/ldv-races_interrupt/	status	cputime (s)	walltime (s)	memory (MB)	status	cputime (s)	walltime (s)	memory (MB)
svp_simple_300_001.yml	false(unreach-call)	3.363571597	3.376051184022799	123.473920	false(unreach-call)	3.251629007	3.2558981319889426	121.577472
svp_simple_301_001.yml	false(unreach-call)	3.331284654	3.3352388640632853	121.188352	false(unreach-call)	3.257683986	3.2706967380363494	119.918592
svp_simple_302_001.yml	false(unreach-call)	3.42769712	3.4376002460485324	120.053760	false(unreach-call)	3.436101445	3.4484614050015807	118.964224
svp_simple_303_001.yml	false(unreach-call)	3.331953293	3.336057488922961	119.504896	false(unreach-call)	3.483043481	3.4870551760541275	119.525376
svp_simple_304_001.yml	false(unreach-call)	3.541692749	3.5538093929644674	129.101824	false(unreach-call)	3.326633586	3.3401287839515135	121.090048
svp_simple_305_001.yml	false(unreach-call)	3.521059486	3.5329407999524847	121.896960	false(unreach-call)	3.403827732	3.411503932904452	124.571648
svp_simple_306_001.yml	false(unreach-call)	3.351637417	3.3594259180827066	121.049088	false(unreach-call)	3.354788264	3.3688011720078066	120.643584
svp_simple_307_001.yml	false(unreach-call)	3.368447703	3.3816781820496544	121.335808	false(unreach-call)	3.480917194	3.4936577760381624	118.870016
svp_simple_308_001.yml	false(unreach-call)	3.414226778	3.424478363012895	121.749504	false(unreach-call)	3.330927583	3.345339559018612	120.864768
svp_simple_309_001.yml	false(unreach-call)	3.491095984	3.495156134944409	121.987072	false(unreach-call)	3.397675711	3.4115422730101272	124.387328
svp_simple_310_001.yml	false(unreach-call)	3.512086285	3.5529520080890507	121.257984	false(unreach-call)	3.507447691	3.520382802002132	119.803904
svp_simple_311_001.yml	false(unreach-call)	3.538743101	3.546814469038509	120.496128	false(unreach-call)	3.40204309	3.411999591975473	120.606720
svp_simple_312_001.yml	false(unreach-call)	3.459009255	3.470871418947354	122.421248	false(unreach-call)	3.685068842	3.6952310509514064	121.708544
svp_simple_313_001.yml	false(unreach-call)	3.393631826	3.404770871042274	127.680512	false(unreach-call)	3.501025233	3.511980985989794	122.957824
svp_simple_314_001.yml	false(unreach-call)	3.407140386	3.4190906150033697	125.263872	false(unreach-call)	3.454288326	3.465165838948451	124.174336
svp_simple_315_001.yml	false(unreach-call)	3.412119781	3.417488844017498	122.974208	false(unreach-call)	3.371650444	3.38569806702435	121.282560
svp_simple_316_001.yml	false(unreach-call)	3.471331123	3.4812048570020124	127.328256	false(unreach-call)	3.566250177	3.5802934300154448	121.466880
svp_simple_317_001.yml	true	3.350817834	3.3650323170004413	122.388480	true	3.474725933	3.4874747979920357	121.294848
svp_simple_318_001.yml	true	3.269581346	3.286469020997174	125.755392	true	3.264223953	3.2775097580160946	118.603776
